total_sqft,bath,location,price,size
1875,3,Sai Poorna Paradise,9500000,3
5200,5,Sahakara Nagar,45000000,5
1254,3,Veer Sandra,6500000,3
1380,3,Yelahanka,7500000,2
900,3,Kanakadasa Layout,5500000,2
1350,3,Jinke Thimmanahalli,6200000,2
1380,3,RR Nagar,7000000,3
1050,3,Shashank,5000000,2
850,3,RK Township,5200000,3
1050,3,Meganahalli,4200000,2
1200,3,RR Nagar,28500000,5
1790,3,Bhoganhalli,15500000,3
975,3,Islampur,6200000,2
1350,3,Simhadri Layout,4600000,2
2100,4,Kithaganur Colony,6800000,3
1089,3,Himagiri Meadows,6000000,2
2000,1,34 6TH MAIN ROAD,30000000,4
1145,3,Simhadri Layout,5800000,2
1179,3,Talaghattapura,4470000,2
1229,3,Gattahalli,6500000,3
1188,3,Vadarpalya,6500000,2
